"BATTERY_TEST_ID","RAW_SCORE","BATTERY_TEST_TYPE","TEST_PERIOD","BATTERY_GROUP","TEST_CATEGORY"
158043,25,"EXAM",7,112511,20
158044,25,"EXAM",7,112511,21
158045,25,"VERBAL",7,112511,21
158046,25,"VERBAL",7,112511,20
158047,100,"EXAM",4,113501,16
158048,100,"EXAM",4,113501,15
158049,100,"EXAM",4,113501,18
159000,100,"EXAM",4,113501,35
159001,100,"EXAM",4,113501,17
159002,50,"VERBAL",4,113501,18
159003,50,"VERBAL",4,113501,16
159004,50,"VERBAL",4,113501,35
159005,50,"VERBAL",4,113501,17
159006,100,"EXAM",4,113500,18
159007,100,"VERBAL",4,113500,18
159008,100,"VERBAL",2,113503,2
159009,100,"OTHER",2,113503,2
159010,100,"EXAM",4,113501,30
159011,100,"PROJECT",2,113503,2
159012,100,"EXAM",2,113503,2
159013,100,"EXAM",5,113501,19
159014,50,"VERBAL",5,113501,19
159015,100,"EXAM",5,113500,19
159016,100,"VERBAL",5,113500,19
159017,100,"EXAM",3,113503,3
159018,100,"VERBAL",3,113503,3
159019,100,"PROJECT",3,113503,1
159020,100,"EXAM",6,113500,20
159021,100,"VERBAL",6,113500,20
159022,100,"EXAM",6,113501,21
159023,50,"VERBAL",6,113501,21
159024,100,"EXAM",6,113501,3051
159025,50,"VERBAL",6,113501,3051
159026,100,"VERBAL",7,113501,31
159027,100,"EXAM",5,113503,19
159028,100,"EXAM",2,113504,1
159029,100,"EXAM",4,113504,1
159030,100,"EXAM",3,113504,1
159031,100,"EXAM",6,113503,21
159032,100,"EXAM",1,113505,40
159033,100,"EXAM",2,113505,2
159034,100,"EXAM",3,113505,41
159035,100,"PROJECT",6,113503,19
159036,100,"EXAM",1,113508,40
159037,100,"VERBAL",1,113508,40
159038,100,"EXAM",1,113506,1
159039,100,"EXAM",1,113513,1
159040,100,"EXAM",3,113506,3
159041,100,"VERBAL",1,113513,1
159042,100,"PROJECT",1,113513,1
159043,100,"VERBAL",1,113506,1
159044,100,"EXAM",2,113506,2
159045,100,"VERBAL",2,113506,2
159046,100,"VERBAL",3,113506,3
159047,100,"EXAM",1,113515,1
159048,100,"VERBAL",1,113515,1
159049,100,"OTHER",1,113515,1
160000,100,"EXAM",4,113506,12
160001,100,"EXAM",4,113506,22
160002,100,"VERBAL",4,113506,12
160003,100,"EXAM",2,113513,2
160004,100,"VERBAL",2,113513,2
160005,50,"OTHER",2,113513,2
160006,10,"VERBAL",1,113511,12
161000,100,"EXAM",2,113515,2
161001,100,"VERBAL",2,113515,2
161002,25,"OTHER",2,113515,2
161006,1,"EXAM",1,113516,1
161004,100,"OTHER",2,113515,2
161005,100,"VERBAL",1,113516,1
161007,100,"EXAM",1,113516,1
161008,100,"EXAM",3,113513,3050
161009,100,"VERBAL",3,113513,3050
161010,100,"EXAM",5,113506,16
161011,100,"EXAM",5,113506,18
161012,100,"EXAM",5,113506,2
161013,100,"VERBAL",5,113506,18
161014,25,"OTHER",1,113516,1
161015,100,"EXAM",3,113515,3
161016,100,"EXAM",3,113515,10
161017,100,"OTHER",3,113515,3
161018,100,"VERBAL",3,113515,3
161019,100,"PROJECT",3,113515,9
161020,100,"EXAM",4,113513,14
161021,100,"VERBAL",4,113513,14
161022,100,"VERBAL",2,113516,2
161023,100,"EXAM",2,113516,2
161024,100,"PROJECT",1,113516,1
161037,100,"VERBAL",7,113506,21
161039,100,"EXAM",5,113513,16
161027,25,"EXAM",1,114501,1
161028,25,"EXAM",1,114501,2
161029,25,"EXAM",1,114501,3
161033,100,"VERBAL",3,113516,3
161031,25,"EXAM",1,114501,12
161032,100,"PROJECT",2,113516,2
161034,100,"VERBAL",5,113513,16
161035,100,"EXAM",6,113506,23
161036,100,"VERBAL",6,113506,24
161038,100,"EXAM",7,113506,21
161040,25,"VERBAL",1,114501,1
161041,25,"VERBAL",1,114501,2
161042,25,"VERBAL",1,114501,3
161043,25,"VERBAL",1,114501,12
161044,100,"EXAM",3,113516,12
161045,100,"EXAM",1,114502,1
161046,100,"OTHER",1,114502,1
161047,100,"VERBAL",1,114502,1
161048,100,"EXAM",4,113515,12
161049,100,"OTHER",4,113515,12
162000,100,"VERBAL",4,113515,12
162001,100,"EXAM",5,113515,18
162002,50,"EXAM",5,113515,17
162003,100,"VERBAL",5,113515,18
162004,100,"VERBAL",5,113515,18
163000,100,"EXAM",6,113513,19
163001,100,"VERBAL",6,113513,19
163002,100,"EXAM",1,114503,1
163003,100,"VERBAL",1,114503,1
163004,100,"PROJECT",4,113516,3
163005,100,"VERBAL",4,113516,3
163006,100,"PROJECT",1,114503,1
163007,1,"OTHER",1,114503,1
163008,100,"EXAM",2,114502,2
163009,100,"EXAM",6,113515,19
163010,100,"PROJECT",2,114502,1
163011,100,"PROJECT",6,113515,19
163012,100,"VERBAL",6,113515,19
163013,100,"VERBAL",2,114502,2
163014,100,"VERBAL",4,113516,4050
163050,50,"PROJECT",2,114501,3050
163051,50,"VERBAL",2,114501,3050
163058,100,"VERBAL",7,113513,21
163053,100,"EXAM",4,113505,17
163054,100,"EXAM",5,113505,21
163055,100,"EXAM",6,113505,22
163056,60,"OTHER",2,114503,2
163057,100,"EXAM",7,113513,21
163059,100,"EXAM",1,115500,1
163060,100,"VERBAL",2,114503,2
163061,100,"EXAM",2,114503,2
163062,1,"OTHER",2,114503,1
163063,35,"EXAM",7,113515,20
163064,23,"EXAM",7,113515,21
163065,50,"PROJECT",7,113515,21
163066,25,"VERBAL",7,113515,20
163067,25,"VERBAL",7,113515,21
163068,100,"PROJECT",1,115500,1
163069,100,"EXAM",2,115500,2
163070,100,"VERBAL",2,115500,2
163071,40,"EXAM",1,115502,1
163072,40,"VERBAL",1,115502,1
163076,100,"VERBAL",2,115503,1
163074,20,"OTHER",1,115502,1
163075,100,"EXAM",2,115503,1
163077,100,"PROJECT",2,115503,1
163078,100,"VERBAL",3,114503,3
163079,100,"EXAM",3,114503,3
163080,1,"EXAM",3,114503,1
163081,100,"VERBAL",6,113516,4050
163082,100,"PROJECT",6,113516,4050
163083,35,"EXAM",2,115502,2
163084,35,"VERBAL",2,115502,2
163085,10,"OTHER",2,115502,2
163086,20,"PROJECT",2,115502,1
163087,1,"OTHER",7,113516,4050
163088,80,"OTHER",4,114503,12
163089,100,"EXAM",4,114503,12
163090,100,"EXAM",3,115503,2
163091,100,"PROJECT",5,114503,1
163092,100,"PROJECT",4,115503,10
163093,100,"EXAM",5,114503,18
163094,50,"EXAM",3,115502,12
163095,50,"VERBAL",3,115502,12
163099,25,"EXAM",4,115502,5050
163097,25,"EXAM",4,115502,3
163098,25,"VERBAL",4,115502,3
164000,25,"VERBAL",4,115502,5050
164001,100,"VERBAL",5,114503,18
164002,100,"EXAM",6,114503,19
164003,100,"EXAM",1,115504,1
164004,100,"VERBAL",1,115504,1
164005,100,"PROJECT",1,115504,1
164006,100,"EXAM",3,115500,3
164007,100,"PROJECT",5,115503,14
164008,100,"VERBAL",5,115503,3
164009,100,"EXAM",4,115500,12
164010,100,"EXAM",5,115500,18
164011,100,"PROJECT",5,115500,1
164012,100,"EXAM",1,115505,40
164016,10,"VERBAL",5,115502,16
164017,10,"EXAM",5,115502,17
164015,10,"EXAM",5,115502,16
164018,10,"VERBAL",5,115502,17
164019,10,"EXAM",5,115502,18
164020,10,"VERBAL",5,115502,18
164021,35,"PROJECT",5,115502,3050
164022,100,"VERBAL",1,115506,1
164023,100,"EXAM",1,115506,1
164024,100,"EXAM",2,115504,2
164025,100,"VERBAL",2,115504,2
164026,100,"PROJECT",2,115504,2
164027,100,"EXAM",2,115505,2
164028,100,"EXAM",6,115500,31
164029,100,"VERBAL",6,115500,31
164030,100,"EXAM",3,114502,3
164031,100,"EXAM",4,114502,18
164032,100,"EXAM",5,114502,19
164033,5,"PROJECT",5,115502,17
164034,100,"EXAM",6,114502,20
164035,100,"PROJECT",4,114502,1
164036,100,"PROJECT",6,114502,1
164037,100,"VERBAL",3,114502,3
164038,100,"VERBAL",5,114502,19
164039,100,"OTHER",7,114502,1
164040,100,"VERBAL",3,115504,12
164041,100,"EXAM",2,115506,2
164042,100,"VERBAL",2,115506,2
164043,50,"EXAM",6,115502,19
164044,50,"VERBAL",6,115502,19
164045,100,"EXAM",3,115504,12
164046,100,"VERBAL",4,115504,5050
164047,100,"EXAM",3,115505,41
164048,100,"EXAM",4,115504,5050
165002,100,"VERBAL",3,115506,12
165000,100,"EXAM",3,115506,12
165001,100,"EXAM",3,115506,1
165003,100,"VERBAL",5,115504,18
165004,13,"EXAM",7,115502,21
165005,13,"EXAM",7,115502,20
165006,13,"EXAM",7,115502,38
165007,13,"VERBAL",7,115502,38
165008,13,"VERBAL",7,115502,20
165009,13,"VERBAL",7,115502,21
165010,22,"PROJECT",7,115502,3050
165011,20,"OTHER",1,115509,1
165012,100,"EXAM",5,115504,18
166000,100,"EXAM",1,115507,1
166001,100,"VERBAL",1,115507,1
166002,100,"EXAM",3,115507,3
166003,100,"VERBAL",3,115507,3
166004,100,"EXAM",4,115506,3
166005,100,"EXAM",4,115506,5050
166006,100,"PROJECT",4,115506,3
166007,100,"EXAM",1,116500,1
166008,100,"VERBAL",1,116500,1
166009,100,"VERBAL",6,115504,19
166010,50,"EXAM",1,115509,1
166011,50,"VERBAL",1,115509,1
166012,40,"EXAM",1,115508,40
166013,40,"VERBAL",1,115508,40
166014,20,"OTHER",1,115508,40
166015,50,"EXAM",2,115508,2
166016,50,"VERBAL",2,115508,2
166017,50,"PROJECT",1,115509,1
166018,100,"EXAM",6,115504,19
166019,100,"EXAM",5,115507,16
166020,200,"PROJECT",5,115507,1
166021,100,"PROJECT",5,115507,18
166022,100,"EXAM",5,115506,18
166023,100,"EXAM",5,115506,16
166024,100,"VERBAL",5,115506,16
166025,50,"EXAM",2,115509,2
166026,50,"VERBAL",2,115509,2
166027,100,"EXAM",6,115507,19
166028,100,"VERBAL",7,115504,38
166029,50,"PROJECT",2,115509,2
166030,100,"EXAM",7,115504,38
166031,10,"EXAM",3,115509,10
166032,10,"EXAM",3,115509,11
166033,50,"EXAM",3,115509,12
166034,100,"EXAM",6,115506,23
166035,50,"VERBAL",3,115509,12
166036,100,"VERBAL",1,116502,1
167024,50,"EXAM",5,115509,16
166038,100,"EXAM",1,116502,1
166039,1,"OTHER",1,116502,1
166040,10,"OTHER",3,115509,12
166041,10,"OTHER",2,115509,2
166042,100,"EXAM",6,115505,30
166043,100,"VERBAL",4,115505,17
166044,100,"VERBAL",5,115505,21
166045,100,"EXAM",2,116500,2
166046,100,"PROJECT",2,116500,2
166047,30,"PROJECT",3,115509,3050
2057,100,"EXAM",7,2050,19
2058,100,"EXAM",1,2100,1
2053,100,"EXAM",4,2050,12
2054,100,"EXAM",5,2050,18
2059,100,"EXAM",2,2100,2
2060,100,"EXAM",3,2100,4
2066,40,"VERBAL",1,2150,1
2067,40,"EXAM",1,2150,1
2070,50,"EXAM",2,2150,2
2071,40,"EXAM",3,2150,4
2072,40,"VERBAL",3,2150,4
2073,20,"PROJECT",3,2150,4
2074,40,"VERBAL",4,2150,12
2075,40,"EXAM",4,2150,12
2076,20,"PROJECT",4,2150,12
2077,40,"EXAM",5,2150,18
2079,20,"PROJECT",5,2150,18
2080,20,"PROJECT",6,2150,19
2081,40,"EXAM",6,2150,19
2083,20,"PROJECT",7,2150,21
2084,40,"EXAM",7,2150,21
2085,40,"VERBAL",7,2150,21
2093,50,"VERBAL",3,2200,9
2094,20,"PROJECT",4,2200,4
2096,40,"VERBAL",4,2200,4
2097,40,"VERBAL",5,2200,12
2099,20,"PROJECT",5,2200,12
3052,20,"PROJECT",6,2200,16
3056,40,"EXAM",8,2200,19
3060,50,"EXAM",9,2200,20
3064,50,"VERBAL",2,2201,2
3066,40,"VERBAL",3,2201,4
3067,40,"EXAM",3,2201,4
3069,20,"PROJECT",4,2201,12
3070,40,"VERBAL",4,2201,12
3071,40,"EXAM",4,2201,12
3074,20,"PROJECT",5,2201,16
3076,50,"PROJECT",6,2201,19
3077,50,"EXAM",7,2201,20
3078,50,"EXAM",7,2201,21
2051,100,"EXAM",2,2050,2
2052,100,"EXAM",3,2050,4
2078,40,"VERBAL",5,2150,18
2082,40,"VERBAL",6,2150,19
3050,40,"VERBAL",6,2200,16
3051,40,"EXAM",6,2200,16
3053,20,"PROJECT",7,2200,18
3055,40,"EXAM",7,2200,18
3062,40,"EXAM",1,2201,1
3068,20,"PROJECT",3,2201,4
3073,40,"EXAM",5,2201,18
3075,100,"EXAM",6,2201,19
2062,100,"EXAM",5,2100,12
2090,40,"EXAM",2,2200,2
2092,50,"EXAM",3,2200,9
2095,40,"EXAM",4,2200,4
2098,40,"EXAM",5,2200,12
2050,100,"EXAM",1,2050,1
2061,100,"EXAM",4,2100,15
2055,100,"EXAM",6,2050,20
2056,100,"EXAM",6,2050,21
2063,100,"EXAM",6,2100,18
2064,100,"EXAM",7,2100,19
2065,100,"EXAM",7,2100,21
2068,20,"OTHER",1,2150,1
2069,50,"VERBAL",2,2150,2
2086,20,"OTHER",1,2200,1
2087,40,"EXAM",1,2200,1
2088,40,"VERBAL",1,2200,1
2089,40,"VERBAL",2,2200,2
2091,20,"OTHER",2,2200,2
3054,40,"VERBAL",7,2200,18
3057,40,"VERBAL",8,2200,19
3058,20,"PROJECT",8,2200,19
3059,50,"EXAM",9,2200,21
3061,20,"OTHER",1,2201,1
3063,40,"VERBAL",1,2201,1
3065,50,"EXAM",2,2201,2
3072,40,"VERBAL",5,2201,18
154000,100,"EXAM",1,110503,1
154001,50,"EXAM",2,110503,1
154002,50,"EXAM",2,110503,9
154003,50,"EXAM",3,110503,3
154004,50,"EXAM",3,110503,10
154005,100,"EXAM",4,110503,16
154050,100,"EXAM",5,110503,12
154051,100,"EXAM",1,111500,1
154052,200,"VERBAL",1,111500,1
154056,150,"PROJECT",2,111500,2
154054,50,"OTHER",1,111500,1
154055,150,"PROJECT",1,111500,1
154057,200,"VERBAL",2,111500,2
154058,100,"EXAM",2,111500,2
154059,50,"OTHER",2,111500,2
154060,400,"PROJECT",3,111500,3
154061,200,"VERBAL",3,111500,3
154062,200,"EXAM",3,111500,3
154063,50,"OTHER",4,111500,12
154064,100,"EXAM",4,111500,12
154065,200,"VERBAL",4,111500,12
154066,200,"PROJECT",4,111500,12
154067,100,"EXAM",5,111500,18
154068,100,"VERBAL",5,111500,18
154069,150,"PROJECT",5,111500,18
154070,100,"EXAM",6,111500,19
154071,100,"VERBAL",6,111500,19
154072,150,"PROJECT",6,111500,19
154073,50,"EXAM",6,110503,18
154074,25,"VERBAL",6,110503,18
154075,25,"VERBAL",6,110503,19
154076,50,"EXAM",6,110503,19
155000,100,"EXAM",7,110503,22
155001,100,"EXAM",7,110503,20
155002,100,"EXAM",7,110503,21
155003,50,"VERBAL",7,110503,21
155004,50,"VERBAL",7,110503,20
155005,50,"VERBAL",7,110503,22
155006,20,"OTHER",1,112500,1
155007,40,"VERBAL",1,112500,1
155008,40,"PROJECT",1,112500,1
155009,40,"EXAM",1,112500,1
155010,75,"VERBAL",1,112504,1
155011,75,"EXAM",1,112504,1
155012,40,"EXAM",2,112500,2
155013,40,"PROJECT",2,112500,2
155014,40,"VERBAL",2,112500,2
155015,20,"OTHER",2,112500,2
155016,50,"EXAM",2,112504,2
155017,50,"VERBAL",2,112504,2
155018,25,"EXAM",1,112503,10
155019,25,"EXAM",1,112503,11
155020,50,"EXAM",1,112503,12
155024,25,"VERBAL",1,112503,11
155025,25,"VERBAL",1,112503,10
155026,50,"VERBAL",1,112503,12
155027,100,"EXAM",1,112505,1
155028,100,"VERBAL",1,112505,1
155029,100,"OTHER",1,112505,1
155030,100,"EXAM",2,112505,2
155031,100,"OTHER",2,112505,2
155032,100,"VERBAL",2,112505,2
155033,100,"EXAM",3,112505,3
155034,100,"OTHER",3,112505,3
155035,100,"VERBAL",3,112505,3
155036,100,"EXAM",4,112505,12
155037,100,"VERBAL",4,112505,12
155038,100,"EXAM",1,112501,1
155039,100,"VERBAL",1,112501,1
155040,100,"PROJECT",1,112501,1
155041,10,"OTHER",1,112501,1
155042,1,"OTHER",1,112501,1
155043,40,"EXAM",3,112500,3
155044,40,"VERBAL",3,112500,3
155045,20,"VERBAL",3,112504,10
155046,20,"VERBAL",3,112504,11
155047,20,"VERBAL",3,112504,14
155048,20,"VERBAL",3,112504,12
155049,20,"EXAM",3,112504,12
156000,20,"EXAM",3,112504,10
156001,20,"EXAM",3,112504,11
156002,20,"EXAM",3,112504,14
156003,100,"EXAM",2,112503,40
156004,100,"VERBAL",2,112503,40
157000,40,"EXAM",4,112500,12
157001,40,"VERBAL",4,112500,12
157005,20,"OTHER",4,112500,12
157010,50,"EXAM",3,112503,21
157004,100,"EXAM",2,112501,2
157006,100,"VERBAL",4,112504,3
157007,100,"EXAM",4,112504,3
157013,50,"VERBAL",5,112500,18
157009,50,"EXAM",3,112503,20
157011,50,"PROJECT",4,112500,3050
157012,10,"EXAM",5,112500,18
157014,100,"EXAM",1,113500,1
157015,100,"VERBAL",1,113500,1
157019,100,"VERBAL",1,113501,1
157030,20,"PROJECT",1,112511,1
157018,200,"EXAM",1,113501,1
157020,100,"EXAM",1,113501,7
157021,50,"VERBAL",1,113501,7
157022,50,"VERBAL",1,113501,8
157023,100,"EXAM",1,113501,8
157024,100,"EXAM",8,112506,38
157025,100,"EXAM",6,112506,19
157031,40,"VERBAL",1,112511,1
157032,40,"EXAM",1,112511,1
157039,40,"EXAM",2,112511,2
157043,50,"EXAM",3,112511,3
157038,40,"VERBAL",2,112511,2
157041,20,"PROJECT",2,112511,2
157042,50,"VERBAL",3,112511,3
157044,25,"VERBAL",4,112511,12
157045,50,"EXAM",4,112511,12
157046,100,"EXAM",2,113501,2
157047,50,"VERBAL",2,113501,2
157048,50,"VERBAL",2,113501,9
157049,100,"EXAM",2,113501,9
158003,50,"VERBAL",6,112500,19
158001,100,"VERBAL",2,113500,2
158002,50,"EXAM",6,112500,19
158012,25,"VERBAL",4,112511,22
158005,100,"EXAM",2,113500,2
158009,15,"VERBAL",5,112511,18
158013,15,"VERBAL",5,112511,16
158010,35,"EXAM",5,112511,18
158011,20,"PROJECT",5,112511,3050
158014,15,"VERBAL",5,112511,17
158015,100,"VERBAL",2,112501,2
158016,100,"PROJECT",2,112501,2
158017,50,"EXAM",5,112504,20
158018,50,"EXAM",5,112504,21
158019,50,"VERBAL",5,112504,20
158020,50,"VERBAL",5,112504,21
158021,100,"OTHER",1,113503,1
158022,100,"PROJECT",1,113503,1
158023,60,"PROJECT",6,112500,3050
158024,30,"EXAM",7,112500,21
158025,30,"EXAM",7,112500,20
158026,30,"EXAM",7,112500,22
158027,100,"VERBAL",3,113500,3
158028,100,"EXAM",3,113500,3
158029,150,"EXAM",3,113501,3
158030,50,"VERBAL",3,113501,3
158031,50,"VERBAL",3,113501,12
158032,100,"EXAM",3,113501,12
158033,100,"EXAM",3,113501,22
158034,50,"VERBAL",3,113501,22
158035,100,"EXAM",4,112501,4
158036,100,"VERBAL",1,113503,1
158037,40,"VERBAL",6,112511,19
158038,40,"EXAM",6,112511,19
158042,20,"PROJECT",6,112511,19
158040,100,"EXAM",1,113503,1